size, time
256, 29.5
256, 29.6
256, 29.6
256, 29.6
256, 29.6
256, 29.6
256, 29.6
256, 30.2
256, 30.2
256, 30.2
256, 30.2
256, 30.2
256, 30.2
512, 23.1
512, 23.4
512, 23.4
512, 23.5
512, 24.0
512, 24.0
512, 24.0
512, 24.1
512, 24.3
512, 24.4
512, 24.7
512, 24.8
512, 24.8
512, 24.8
512, 24.8
512, 24.8
512, 25.1
512, 25.4
512, 25.4
512, 25.6
512, 25.6
512, 25.6
512, 25.7
512, 25.8
512, 25.8
512, 26.2
512, 26.2
512, 26.2
512, 26.3
512, 26.7
512, 26.7
512, 26.8
512, 26.8
512, 26.8
512, 26.8
512, 26.9
512, 26.9
512, 26.9
512, 27.0
512, 27.0
512, 27.0
512, 27.1
512, 27.1
512, 27.1
512, 27.3
512, 27.3
512, 27.3
512, 28.2
512, 28.2
512, 28.2
512, 28.2
512, 28.2
512, 29.0
512, 29.0
512, 29.0
512, 29.4
512, 29.4
512, 29.4
512, 29.4
512, 29.4
512, 29.4
512, 29.6
512, 29.6
512, 29.6
512, 30.5
512, 30.5
512, 30.5
1024, 23.9
1024, 24.1
1024, 24.3
1024, 24.3
1024, 24.6
1024, 24.6
1024, 24.7
1024, 24.7
1024, 25.2
1024, 25.3
1024, 25.3
1024, 25.5
1024, 25.8
1024, 25.9
1024, 25.9
1024, 25.9
1024, 25.9
1024, 26.0
1024, 26.0
1024, 26.0
1024, 26.0
1024, 26.1
1024, 26.2
1024, 26.5
1024, 26.5
1024, 26.5
1024, 26.8
1024, 26.8
1024, 26.8
1024, 27.0
1024, 27.0
1024, 27.5
1024, 27.7
1024, 27.7
1024, 27.7
1024, 27.9
1024, 27.9
1024, 27.9
1024, 28.0
1024, 28.0
1024, 28.1
1024, 28.1
1024, 28.2
1024, 28.2
1024, 28.2
1024, 28.3
1024, 28.3
1024, 28.3
1024, 28.4
1024, 28.4
1024, 28.4
1024, 28.5
1024, 28.5
1024, 28.5
1024, 28.5
1024, 28.5
1024, 28.5
1024, 28.5
1024, 29.0
1024, 29.0
1024, 29.0
1024, 29.7
1024, 29.7
1024, 29.7
1024, 30.9
1024, 30.9
1024, 30.9
