size,time
16,56.9
16,56.9
16,56.9
16,56.9
16,56.9
16,56.9
16,57.0
16,57.0
16,57.0
16,57.0
16,57.0
16,57.0
16,57.0
16,57.2
16,57.2
16,57.2
16,57.3
16,57.3
16,57.3
16,57.4
16,57.4
32,58.1
32,58.1
32,58.1
32,58.1
32,58.3
32,58.3
32,58.8
32,58.9
32,58.9
32,58.9
32,58.9
32,58.9
32,59.1
32,59.1
32,59.2
32,59.3
32,59.4
32,59.5
32,59.5
32,59.6
32,59.7
32,59.8
32,59.8
32,59.8
32,59.8
32,60.0
32,60.0
32,60.0
32,60.0
32,60.0
32,60.0
32,60.1
32,60.1
32,60.1
32,60.1
32,60.1
32,60.1
32,60.1
32,60.1
32,60.1
32,60.1
32,60.1
32,60.1
32,60.1
32,60.1
32,60.1
32,60.1
32,60.2
32,60.2
32,60.2
32,60.2
32,60.2
32,60.2
32,60.2
32,60.2
32,60.2
32,60.3
32,60.5
32,60.5
32,60.5
32,60.5
32,60.5
32,60.5
32,60.6
32,60.6
32,61.0
32,61.0
64,57.4
64,57.4
64,57.9
64,58.3
64,58.3
64,58.4
64,58.5
64,58.5
64,59.1
64,59.1
64,59.2
64,59.2
64,59.5
64,59.5
64,59.5
64,59.8
64,59.8
64,60.0
64,60.0
64,60.2
64,60.2
64,60.3
64,60.6
64,60.6
64,60.9
64,60.9
64,61.1
64,61.1
64,61.1
64,61.1
64,61.1
64,61.4
64,61.5
64,61.5
64,61.5
64,61.7
64,61.7
64,61.7
64,61.7
64,61.7
64,61.7
64,61.7
64,61.8
64,61.8
64,61.8
64,61.9
64,61.9
64,62.0
64,62.0
64,62.0
64,62.0
64,62.0
64,62.0
64,62.0
64,62.0
64,62.0
64,62.0
64,62.0
64,62.1
64,62.1
64,62.1
64,62.2
64,62.2
64,62.2
64,62.3
64,62.3
64,62.3
128,54.0
128,58.9
128,58.9
128,59.0
128,59.6
128,59.6
128,59.6
128,59.9
128,59.9
128,60.2
128,60.2
128,60.2
128,60.4
128,60.4
128,60.4
128,60.5
128,60.6
128,60.8
128,60.8
128,60.8
128,60.9
128,60.9
128,60.9
128,60.9
128,60.9
128,60.9
128,60.9
128,60.9
128,61.1
128,61.1
128,61.1
128,61.1
128,61.1
128,61.1
128,61.1
128,61.1
128,61.1
128,61.1
128,61.1
128,61.1
128,61.3
128,61.3
128,61.3
128,61.3
128,61.5
128,61.5
128,61.6
128,61.6
128,61.6
128,61.6
128,61.6
128,61.8
128,61.8
128,61.8
128,61.9
128,61.9
128,61.9
128,62.0
128,62.0
128,62.0
128,62.1
128,62.2
128,62.2
128,62.2
128,62.5
128,62.5
128,62.5
256,52.4
256,52.4
256,52.4
256,56.7
256,57.5
256,57.9
256,57.9
256,58.4
256,58.4
256,59.1
256,59.1
256,59.2
256,59.2
256,60.0
256,60.0
256,60.0
256,60.0
256,60.1
256,60.1
256,60.2
256,60.2
256,60.3
256,60.3
256,60.4
256,60.4
256,60.6
256,60.6
256,60.6
256,60.6
256,60.7
256,60.7
256,60.7
256,60.7
256,60.8
256,60.9
256,60.9
256,60.9
256,61.0
256,61.0
256,61.0
256,61.1
256,61.1
256,61.1
256,61.2
256,61.2
256,61.2
256,61.2
256,61.2
256,61.2
256,61.2
256,61.2
256,61.3
256,61.3
256,61.3
256,61.3
256,61.3
256,61.4
256,61.4
256,61.4
256,61.4
256,61.5
256,61.6
256,61.6
256,61.6
256,61.6
256,61.6
256,61.6
512,50.1
512,50.1
512,52.4
512,52.4
512,52.4
512,56.5
512,56.5
512,57.3
512,57.3
512,57.3
512,57.3
512,57.3
512,57.8
512,58.0
512,58.0
512,59.0
512,59.0
512,59.0
512,59.2
512,59.2
512,59.2
512,59.4
512,59.7
512,59.7
512,59.8
512,59.9
512,60.2
512,60.3
512,60.3
512,60.4
512,60.4
512,60.4
512,60.7
512,60.7
512,60.7
512,60.7
512,60.8
512,60.8
512,60.8
512,60.9
512,60.9
512,61.0
512,61.1
512,61.1
512,61.1
512,61.2
512,61.2
512,61.2
512,61.2
512,61.2
512,61.2
512,61.3
512,61.4
512,61.4
512,61.4
512,61.4
512,61.4
512,61.5
512,61.5
512,61.5
512,61.5
512,61.5
512,61.5
512,61.5
512,61.5
512,61.5
512,61.5
1024,43.0
1024,43.0
1024,45.1
1024,45.1
1024,49.2
1024,50.7
1024,50.7
1024,55.1
1024,55.3
1024,55.3
1024,55.3
1024,56.8
1024,57.2
1024,57.5
1024,58.5
1024,58.5
1024,58.6
1024,58.6
1024,58.8
1024,58.8
1024,58.8
1024,59.0
1024,59.2
1024,59.2
1024,59.2
1024,59.2
1024,59.2
1024,59.4
1024,59.4
1024,59.4
1024,59.5
1024,59.8
1024,59.8
1024,59.9
1024,59.9
1024,59.9
1024,59.9
1024,59.9
1024,60.0
1024,60.1
1024,60.2
1024,60.2
1024,60.2
1024,60.2
1024,60.5
1024,60.5
1024,60.5
1024,60.5
1024,60.5
1024,60.8
1024,60.8
1024,60.8
1024,61.0
1024,61.0
1024,61.0
1024,61.2
1024,61.2
1024,61.2
1024,61.6
1024,61.6
1024,61.6
1024,61.7
1024,61.7
1024,61.7
1024,61.8
1024,61.8
1024,61.8
